ProgressVariable,EnthalpyTot,MixtureFraction,Temperature,MolarWeightMix,DiffusionCoefficient,Conductivity,ViscosityDyn,Cp,Beta_ProgVar,Beta_Enth_Thermal,Beta_Enth,Beta_MixFrac,ProdRateTot_PV,Heat_Release,FlameletID
-0.001651788066694138,-26680.861206379752,0.011602837001842097,1206.2963759506747,26.396565051063018,0.00027177711674136404,0.09653530310543738,4.7594140955997605e-05,1331.9858440831094,-0.004306519202542682,1179.4108776119876,-531629.6914833143,-0.003302629997551635,48.675696394156745,2077477364.6433117,3.0
-0.007840927930676821,-27258.430347769827,0.009825149008408652,924.929032242722,26.36134260621113,0.00017961969407422466,0.07853537526370949,3.9972115838565746e-05,1258.8398187965756,-0.011851456004302655,1060.101963845325,-337479.00388808094,0.0004648393581185559,17.974453261665435,1537096472.5290372,5.0
-0.026977676933900144,2339.7684504112704,0.017269736667031587,300.0071399164844,23.45837524856757,3.591022890921466e-05,0.042423421267050024,1.8488359886931084e-05,1239.7632518530081,-0.04982612915704137,571.9123983857044,1230.9832260206256,0.03589672439676087,1.1115396654553629e-09,0.060956119245700005,8.0
-0.018516533923562756,55595.53105550715,0.009727225502818092,473.7406230352802,25.639898575756845,6.522775482131695e-05,0.05005418752392232,2.5690527259249204e-05,1163.4611474542762,-0.027812096021811575,811.9631982956453,-28008.666831956078,0.011955151119509632,0.15679772697916006,23016697.360518906,1.0
-0.02058093221177667,15041.653269288548,0.010557835901460758,359.6189644861344,25.322065024793137,4.2112905868844074e-05,0.041875489796998316,2.1172294429688184e-05,1158.7929084129003,-0.03184740016085091,759.4019404750229,-9701.183383705522,0.01571961484086657,0.0,204008.4897519703,5.0
0.004464522368643321,-5165.03162485181,0.01379885252590452,1497.8512121698864,26.39377156110364,0.00037994095488037973,0.11446922465308793,5.495396428982734e-05,1403.0002895163705,0.0026808191538678808,1287.806874401978,-783014.7576693394,-0.006406207063330154,12.396299652185375,765947439.8293946,2.0
0.008270739226760068,-38424.52771093678,0.01683682617207211,1675.5928302483824,25.918975993987377,0.00046842700958080153,0.12997493502892793,5.919325217288737e-05,1471.9271118801805,0.004828009611729163,1324.50768720594,-927119.3609008517,-0.004869261765888037,3.751733173046923,561131717.040383,8.0
-0.0064640432688377,-17375.15057523557,0.01019848065158416,998.2002152646767,26.37226353950844,0.00020251106317884486,0.08338461037577014,4.202855283247129e-05,1278.8662816605558,-0.010158641989461929,1091.2211119824706,-377330.8112254109,-0.0003962068344582101,25.44935894896057,1838085567.3252456,4.0
0.005716315944952278,19077.154417568512,0.014230011337428171,1620.1522777790472,26.487485367191198,0.0004275606602956142,0.12147621252735437,5.788556662900602e-05,1426.0219685384943,0.004062677081852496,1318.2459778130176,-907062.2033739096,-0.007028220645674531,0.2913408889316142,48416285.362931214,4.0
0.005124805180148276,16336.595682223768,0.014049182790522037,1558.8519740534314,26.422051746769263,0.00040396041460114966,0.11807045020265765,5.643898635599477e-05,1415.0076234465553,0.003392723437049531,1303.2041860267427,-836139.5288359291,-0.006716338940769282,3.5883109000362023,390166983.1524272,2.0
