epoch,learning_rate,validation_loss_Temperature
0.0,0.002511886414140463,0.0021863599145646863
1.0,0.0024864363949745893,0.0008721128134592405
2.0,0.0024612441193312407,0.00037650441871225877
3.0,0.0024363070260733366,0.00021287786169397332
4.0,0.0024116230197250843,0.00016547814418456779
5.0,0.002387188607826829,0.00014719881077494696
6.0,0.0023630019277334213,0.0001103917129883492
7.0,0.0023390604183077812,7.949533491118994e-05
8.0,0.0023153615184128284,6.541911610773382e-05
9.0,0.002291902434080839,5.870223447535533e-05
10.0,0.002268681302666664,5.462381399212339e-05
11.0,0.0022456953302025795,5.115146093671992e-05
12.0,0.0022229421883821487,4.839751472203615e-05
13.0,0.0022004195488989353,4.647746320240112e-05
14.0,0.0021781253162771463,4.5315706102453006e-05
15.0,0.0021560569293797016,4.4766185665775226e-05
16.0,0.0021342120599001646,4.463995510144e-05
17.0,0.0021125883795320988,4.473435544695576e-05
18.0,0.002091184025630355,4.4852103043051736e-05
19.0,0.0020699964370578527,4.481337636274054e-05
20.0,0.0020490235183387995,4.447648771490072e-05
21.0,0.002028263173997402,4.375921363335874e-05
22.0,0.0020077130757272243,4.265030044504793e-05
23.0,0.0019873713608831167,4.122423552250321e-05
24.0,0.001967235468327999,3.9626093711808255e-05
25.0,0.001947303768247366,3.8002114139603334e-05
26.0,0.0019275739323347807,3.644981736477858e-05
27.0,0.0019080439815297723,3.501621017125587e-05
28.0,0.0018887119367718697,3.371071834224134e-05
29.0,0.0018695758190006018,3.25227725489385e-05
30.0,0.0018506335327401757,3.143998859428295e-05
31.0,0.0018318832153454423,3.0459023060003174e-05
32.0,0.0018133228877559304,2.9590069756790828e-05
33.0,0.001794950570911169,2.8857480327533693e-05
34.0,0.0017767642857506871,2.8295827141080884e-05
35.0,0.001758762402459979,2.7939934597384914e-05
36.0,0.0017409429419785738,2.7810485285823814e-05
37.0,0.0017233039252460003,2.790074485967135e-05
38.0,0.0017058436060324311,2.8169650730593404e-05
39.0,0.001688560121692717,2.854362050866893e-05
40.0,0.0016714519588276744,2.8928748166922297e-05
41.0,0.001654517138376832,2.923093178385357e-05
42.0,0.0016377536812797189,2.9375590341904635e-05
43.0,0.001621160190552473,2.9321132197282268e-05
44.0,0.0016047349199652672,2.9069881382248584e-05
45.0,0.001588476006872952,2.8681181310493534e-05
46.0,0.0015723817050457,2.8277962975624616e-05
47.0,0.0015564506174996495,2.8026348178133595e-05
48.0,0.001540680881589651,2.808223890441083e-05
49.0,0.0015250708675011992,2.8532772583039516e-05
50.0,0.001509619178250432,2.9369577680932224e-05
51.0,0.0014943239511922002,3.051180434842842e-05
52.0,0.00147918367292732,3.189428664293431e-05
53.0,0.001464196713641286,3.357413618378843e-05
54.0,0.001449361676350236,3.55317258931292e-05
55.0,0.0014346769312396646,3.737842705423273e-05
56.0,0.0014201410813257098,3.8920498478586486e-05
57.0,0.0014057523803785443,4.0292617506040896e-05
58.0,0.001391509547829628,4.1649464235448e-05
59.0,0.0013774109538644552,4.3097014109222895e-05
60.0,0.0013634550850838423,4.4688532910384335e-05
61.0,0.0013496408937498927,4.6430410556758364e-05
62.0,0.0013359665172174573,4.828709231403623e-05
63.0,0.001322430558502674,5.018685085596502e-05
64.0,0.0013090319698676467,5.203142008092742e-05
65.0,0.0012957690050825477,5.3710940306269614e-05
66.0,0.0012826404999941587,5.5122511618419564e-05
67.0,0.0012696449412032962,5.6187550793852594e-05
68.0,0.0012567810481414199,5.6862098193866394e-05
69.0,0.0012440476566553116,5.71377998815651e-05
70.0,0.0012314431369304657,5.7035090833363866e-05
71.0,0.0012189662083983421,5.659308510824823e-05
72.0,0.0012066159397363663,5.5859559785096025e-05
73.0,0.0011943907011300325,5.4882523449680696e-05
74.0,0.0011822892120108008,5.370497791558532e-05
75.0,0.0011703104246407747,5.2363471738307224e-05
76.0,0.001158453058451414,5.088984042144191e-05
77.0,0.001146715716458857,4.931314751230799e-05
78.0,0.0011350973509252071,4.7660690735476006e-05
79.0,0.001123596797697246,4.595771433668488e-05
80.0,0.001112212659791112,4.422679685969751e-05
81.0,0.0011009437730535865,4.2487451666298934e-05
82.0,0.001089789206162095,4.0755926940864254e-05
83.0,0.0010787476785480976,3.9045415197559916e-05
84.0,0.001067817909643054,3.736628698219787e-05
85.0,0.0010569989681243896,3.572649993992643e-05
86.0,0.0010462895734235644,3.4132076519778494e-05
87.0,0.0010356887942180037,3.2587450867558605e-05
88.0,0.0010251952335238457,3.1095889286144614e-05
89.0,0.0010148081928491592,2.9659799169528363e-05
90.0,0.0010045262752100825,2.828088393255389e-05
91.0,0.000994348549284041,2.6960289003954322e-05
92.0,0.000984273967333138,2.5698532907975666e-05
93.0,0.0009743014234118164,2.4495557857799284e-05
94.0,0.0009644299279898405,2.3350598002076228e-05
95.0,0.000954658433329314,2.2262370551922223e-05
96.0,0.0009449860081076622,2.1229036379960804e-05
97.0,0.0009354115463793278,2.0248420668576707e-05
98.0,0.0009259341168217361,1.931808498707836e-05
99.0,0.0009165526716969907,1.8435456104190548e-05
