Density,Energy,s,dsdrho_e,dsde_rho,d2sdrho2,d2sdedrho,d2sde2,T,p,c2,dTdrho_e,dTde_rho,dpdrho_e,dpde_rho,dhdrho_e,dhde_rho,dhdrho_p,dhdp_rho,dsdp_rho,dsdrho_p,cp
8.571433590986999e-05,-40535.99622916448,344.8991502947271,-597382.464769138,0.004562151106375649,6969495218.544938,-4.3058121268208366e-05,-1.7212036783435676e-08,219.19484398543716,0.9620324781747727,11698.928147393222,2.068786840598309,0.0008269760534990343,11223.654827312022,3.6296155828363645e-06,-593.1946821378242,1.0423454903349303,-3223186555.2690535,287177.9301543523,1256.9240467087027,-14704664.109175833,1260.431328110762
8.571433590986999e-05,-23490.77079613404,420.28278406603727,-597383.094793392,0.004289723047408345,6969495218.579035,-3.154409462706717e-05,-1.4836620823326085e-08,233.11528248989276,1.023129492259643,12429.255541539073,1.7141923729363528,0.0008062625526640093,11936.46013424761,3.5386937373015083e-06,-508.88318343420895,1.0412847360915507,-3512385208.847493,294256.8115220958,1212.233486664926,-15067159.781769264,1291.496845341575
8.571433590986999e-05,-6445.5453630447755,491.3451088673951,-597383.5594402313,0.004053854398259779,6969495218.598903,-2.3444782721092985e-05,-1.2903960919243308e-08,246.6788152108461,1.082659895000011,13138.838971761592,1.4266252944352362,0.0007852116722427035,12630.986679494612,3.446293785858347e-06,-443.70546679460836,1.0402067372893395,-3812454708.7877426,301833.44831417553,1176.2939117072724,-15455136.289385397,1324.7477218907707
8.571433590986999e-05,10599.680070046945,558.6499573783519,-597383.9073796351,0.003847856456372325,6969495218.610545,-1.7704637976915236e-05,-1.1317858306609931e-08,259.8849544774282,1.140621585867463,13828.076376029407,1.1957746051181566,0.0007644102954839267,13307.210376442878,3.3549909441068607e-06,-392.7668978170156,1.0391415380927023,-4121643428.0750666,309730.05751863046,1146.9051691871766,-15859492.275583208,1359.403520706062
8.571433590986999e-05,27644.905503137936,622.6599184299981,-597384.1722110531,0.0036664730536811966,6969495218.617441,-1.3593384809324613e-05,-1.0005198254532633e-08,272.7416744535963,1.1970495936834111,14497.768770457436,1.0111849944362474,0.0007442668977047672,13965.540204693918,3.266577498276787e-06,-352.44780561228066,1.0381100484954073,-4438213628.210389,317797.46509704425,1122.4203483968668,-16272590.67431405,1394.8093943638894
8.571433590986999e-05,44690.13093622953,683.7577257540316,-597384.3771725266,0.003505542389254031,6969495218.621586,-1.0611709982012447e-05,-8.909854626088573e-09,285.262561099082,1.2520035696773781,15148.951133147353,0.8635250215170631,0.000725037003531823,14606.672322023614,3.182174545953231e-06,-320.0978480075985,1.0371253479616216,-4760565743.451207,325917.1780129198,1101.6185123195162,-16688365.010498837,1430.4451796921903
8.571433590986999e-05,61735.35636931985,742.2626668706621,-597384.5384349069,0.0033617456615188802,6969495218.624121,-8.419578420283282e-06,-7.98844400047431e-09,297.4645022812901,1.3055576512009681,15782.768154258274,0.7450074920528876,0.0007068585068179773,15231.471829723681,3.102387001965274e-06,-293.7800148434721,1.0361944938268843,-5087298310.707317,333999.1088057307,1083.5997118958112,-17102203.024872653,1465.9154075613724
8.571433590986999e-05,78780.58180241163,798.4432619788971,-597384.6673541314,0.0032324174951825877,6969495218.625705,-6.7850065387362995e-06,-7.207240036162597e-09,309.36597809235457,1.3577929594464335,16400.39020294385,0.6493747133059025,0.0006897855448613305,15840.885262891188,3.0274522526290404e-06,-272.0739873802936,1.0353202555965955,-5417225057.373488,341977.4018558089,1067.702221356441,-17510733.05079556,1500.9309800443127
8.571433590986999e-05,95825.80723550268,852.5271181113035,-597384.7719931372,0.003115401835343725,6969495218.626714,-5.54879959744947e-06,-6.5398782429963745e-09,320.9858801054693,1.408792418344141,17002.960502000846,0.5717035607124765,0.0006738163115254101,16435.880156657586,2.9573622085734065e-06,-253.93158948473072,1.0345025388948137,-5749366936.761817,349805.8289565567,1053.4393880844764,-17911588.306852292,1535.288957574366
8.571433590986999e-05,112871.03266859372,904.7086306839838,-597384.8581464458,0.0030089418643161566,6969495218.627378,-4.600777972589682e-06,-5.965629835404055e-09,332.34274542132783,1.4586373936769188,17591.564543314365,0.508163750392675,0.0006589139594812884,17017.40584478864,2.8919550289837046e-06,-238.57284259992423,1.033739455579807,-6082931569.477558,357453.5029830963,1040.452508479554,-18303187.457171407,1568.8537429374637
